n_obs,condition,algorithm,trial,ctrl_ms,max_ep,min_clear,tube_safe,collision_free,task_success,qp_infeas_pct
10,nominal,Baseline,17,3.6228989089185264,0.7428875889730565,1.1108048982504477,True,True,True,nan
10,nominal,Baseline,18,3.656235452245071,0.7118059344945531,0.9301261276847282,True,True,True,nan
10,nominal,Baseline,19,3.3685223617971873,0.6660363244279394,1.0086284033409243,True,True,False,nan
10,nominal,Baseline,20,3.388487917138705,0.7407902375160086,0.7863744235798286,True,True,False,nan
10,nominal,Baseline,21,3.393142348509354,0.7426151316330054,1.1221665172759636,True,True,False,nan
10,nominal,Baseline,22,3.346451304239021,0.7347993738456985,0.6330694723375805,True,True,False,nan
10,nominal,Baseline,23,3.516882883616686,0.7416743246789953,0.7334884544409582,True,True,False,nan
10,nominal,Baseline,24,3.5446444712183007,0.6837966986033555,0.7586850866171765,True,True,True,nan
10,nominal,CBF-QP,0,8.154367888680314,0.9541528654965742,0.830981504580611,True,True,True,nan
10,nominal,CBF-QP,1,8.13870451803187,0.7392231178084765,0.6053357745973268,True,True,True,nan
10,nominal,CBF-QP,2,8.147682412403245,0.7392489550267328,0.8523742139017925,True,True,True,nan
10,nominal,CBF-QP,3,8.15397450474683,0.9021754838223267,0.7480204782464066,True,True,True,nan
10,nominal,CBF-QP,4,8.139769592661668,1.2615928817209274,0.7260018033125522,False,True,True,nan
10,nominal,CBF-QP,5,8.121329236552496,1.042088603211954,0.6975830571185239,False,True,True,nan
10,nominal,CBF-QP,6,8.11696834597403,0.7523339883324324,0.7250686780489451,True,True,True,nan
10,nominal,CBF-QP,7,8.139373118908622,0.7392293748332748,0.7481003253136209,True,True,True,nan
10,nominal,CBF-QP,8,8.155452950656763,0.7392231135411903,0.6239758365159617,True,True,True,nan
10,nominal,CBF-QP,9,8.17090342252212,1.1396031280042238,0.5942284884545761,False,True,True,nan
10,nominal,CBF-QP,10,8.130297593293106,0.7392236917922165,0.6773603108373942,True,True,True,nan
10,nominal,CBF-QP,11,8.120749339023922,0.8649160016933547,0.7576934221868152,True,True,True,nan
10,nominal,CBF-QP,12,8.134683547750148,1.0881081433730635,0.8508336375955203,False,True,True,nan
10,nominal,CBF-QP,13,8.124249427575515,0.7392231606943928,0.763539001434461,True,True,True,nan
10,nominal,CBF-QP,14,8.19303729981098,1.1616067932146719,0.8039826794184514,False,True,True,nan
10,nominal,CBF-QP,15,8.120884645159336,1.228922808292747,0.8570887910960181,False,True,True,nan
10,nominal,CBF-QP,16,8.13000414547245,0.9833847941578876,0.6284731011542318,True,True,True,nan
10,nominal,CBF-QP,17,8.106585806447013,0.7392235496711209,0.5778584097966284,True,True,True,nan
10,nominal,CBF-QP,18,8.190386823532199,0.7661497029484327,0.7124172186877744,True,True,True,nan
10,nominal,CBF-QP,19,8.213110526249693,1.1050953601059055,1.187940211839473,False,True,True,nan
10,nominal,CBF-QP,20,8.14278464073816,0.7393874112731126,0.7266386355492596,True,True,True,nan
10,nominal,CBF-QP,21,8.116154591396187,0.7392231111894998,0.7471816649748553,True,True,True,nan
10,nominal,CBF-QP,22,8.114408957628946,0.7788054798553352,0.8769647083739619,True,True,True,nan
10,nominal,CBF-QP,23,8.12006675459566,0.7392231112864706,0.7634114610917829,True,True,True,nan
10,nominal,CBF-QP,24,8.130192506647926,1.154505928090312,0.7496846272913497,False,True,True,nan
10,disturbed,GA-STT,0,3.5936855117003628,0.5300066482722123,0.9913922835312531,True,True,True,nan
10,disturbed,GA-STT,1,3.7706754617287097,0.5322172475815716,0.6989156483192428,True,True,False,nan
10,disturbed,GA-STT,2,3.6437050626249206,0.5119552767467643,0.818213068381737,True,True,True,nan
10,disturbed,GA-STT,3,3.972539758375772,0.49060121401065443,0.9633722978262751,True,True,True,nan
10,disturbed,GA-STT,4,3.633186979752925,0.4489934651939838,0.879786315195446,True,True,True,nan
10,disturbed,GA-STT,5,3.552608574314326,0.5310066052359836,1.0878198012545495,True,True,True,nan
10,disturbed,GA-STT,6,3.806519915234252,0.5573891704595741,0.839651447761932,True,True,False,nan
10,disturbed,GA-STT,7,3.5822749361167134,0.6895288032735253,0.612486216427508,True,True,False,nan
10,disturbed,GA-STT,8,3.6459128368129186,0.5059798162437366,0.850283888515232,True,True,True,nan
10,disturbed,GA-STT,9,3.473668538895855,0.47291254360119067,0.9302144199820496,True,True,True,nan
10,disturbed,GA-STT,10,3.4719140733635325,0.450892090070018,1.0377638716379898,True,True,True,nan
10,disturbed,GA-STT,11,3.9411096192201143,0.52474067573552,0.7683766585697916,True,True,True,nan
10,disturbed,GA-STT,12,3.4774669924135266,0.5193412398182314,1.028887520729085,True,True,True,nan
10,disturbed,GA-STT,13,3.7433327824181637,0.6016518521575243,0.6405941984100305,True,True,False,nan
10,disturbed,GA-STT,14,3.619811660969565,0.5753306407434552,0.8031945867729303,True,True,True,nan
10,disturbed,GA-STT,15,3.462037541432574,0.586053598390019,0.717012430309038,True,True,False,nan
10,disturbed,GA-STT,16,3.9557079443356864,0.43395721509892315,0.9317820171338367,True,True,True,nan
10,disturbed,GA-STT,17,3.5009315123365745,0.5073594972483484,0.8797490542816185,True,True,True,nan
10,disturbed,GA-STT,18,3.7840420177066485,0.542390139287406,0.9015146686485245,True,True,True,nan
10,disturbed,GA-STT,19,3.508233790638261,0.5942762028382922,0.8415068596351761,True,True,False,nan
10,disturbed,GA-STT,20,3.9128744174517998,0.5542581759615377,0.8511905451422921,True,True,False,nan
10,disturbed,GA-STT,21,3.7684995439571707,0.49119871306699725,0.8702654129416728,True,True,True,nan
10,disturbed,GA-STT,22,3.534525741299268,0.6121443601227473,1.178280255131685,True,True,False,nan
10,disturbed,GA-STT,23,3.526352792546481,0.42851895115061306,0.9654053934284638,True,True,True,nan
10,disturbed,GA-STT,24,4.0270581132283265,0.5082449628111045,0.5818357757048122,True,True,True,nan
10,disturbed,Baseline,0,3.4657064010116474,0.7403024401165227,0.970508196910321,True,True,True,nan
10,disturbed,Baseline,1,3.6301241701426123,0.7295141895864965,0.4779439878927241,True,True,False,nan
10,disturbed,Baseline,2,3.5382959494048025,0.6645614085947658,0.7171098707639716,True,True,False,nan
10,disturbed,Baseline,3,3.8639164807074566,0.7332132498623138,0.7723113591514559,True,True,True,nan
10,disturbed,Baseline,4,3.506274760912455,0.5872757664076862,0.6676988448184508,True,True,True,nan
10,disturbed,Baseline,5,3.4108474611036974,0.7036136872496322,1.0913949744010485,True,True,True,nan
10,disturbed,Baseline,6,3.7183303295404904,0.6967765417106396,0.6108848893262459,True,True,True,nan
10,disturbed,Baseline,7,3.465940782415676,0.7225672157032063,0.5748220559811564,True,True,False,nan
10,disturbed,Baseline,8,3.527500535744943,0.6270335857656782,0.5955893884015783,True,True,True,nan
10,disturbed,Baseline,9,3.3410599943012453,0.7146907474253442,0.8239469680939647,True,True,False,nan
10,disturbed,Baseline,10,3.356260972176079,0.771062378362648,0.848313145833488,True,True,False,nan
10,disturbed,Baseline,11,3.822830018970084,0.7185863284571867,0.8717289877434465,True,True,True,nan
